SYMPTOM_IDX,START_CHAR,END_CHAR
0,85,93
0,2079,2087
0,2629,2637
0,3717,3740
0,3987,4002
1,3788,3830
1,4017,4026
1,4038,4051
2,4017,4034
3,4140,4148
3,6526,6534
4,4149,4157
4,6538,6546
5,4161,4169
6,4241,4259
6,4545,4559
6,4588,4596
7,4270,4281
7,4545,4559
7,4588,4596
8,4309,4317
8,4545,4559
8,4588,4596
9,4320,4326
9,4545,4559
9,4588,4596
10,4482,4491
11,4496,4518
11,4545,4559
11,4588,4596
12,5831,5840
13,6326,6334
14,6385,6391
15,6392,6398
16,6402,6414
17,6419,6438
18,6441,6446
19,6450,6460
20,6465,6479
21,6484,6496
22,6497,6505
23,6510,6517
24,10406,10409
