SYMPTOM_IDX,START_CHAR,END_CHAR
0,695,701
0,2698,2704
0,8417,8423
1,704,712
1,2709,2717
1,8426,8434
2,741,749
2,2965,2969
2,8290,8294
2,8371,8379
3,850,855
4,874,890
5,897,920
5,980,989
6,947,965
7,2210,2217
8,2276,2286
9,2375,2399
10,2497,2506
11,2536,2547
12,2594,2613
13,2769,2779
14,3094,3105
15,3140,3158
16,3162,3178
17,3561,3566
18,3569,3580
19,3583,3590
20,3597,3606
21,3630,3646
22,3651,3670
23,4114,4127
24,8358,8365
25,728,737
25,2898,2926
26,2553,2558
26,2576,2580
27,2563,2568
27,2576,2580
28,2984,2994
28,8237,8241
