SYMPTOM_IDX,START_CHAR,END_CHAR
0,103,113
0,1476,1491
0,1589,1599
0,1725,1735
0,6707,6721
0,8339,8353
0,8537,8555
1,295,300
1,932,937
1,2237,2242
1,3510,3515
1,7221,7226
2,967,986
2,1031,1050
2,1322,1341
2,1619,1638
2,1740,1759
2,8339,8353
2,8537,8555
3,991,996
3,1069,1074
3,3136,3141
3,8339,8353
3,8537,8555
3,10369,10374
4,1344,1363
4,8339,8353
4,8537,8555
5,1652,1667
6,1670,1681
7,1692,1698
8,1703,1711
9,1941,1952
10,1991,2000
11,2010,2013
12,2061,2069
13,2081,2093
14,2096,2123
15,2126,2137
16,2155,2171
17,3083,3089
18,3095,3101
19,3146,3154
20,3159,3166
21,3171,3182
22,3580,3591
23,10377,10383
24,10386,10392
25,10872,10891
26,11724,11734
