SYMPTOM_IDX,START_CHAR,END_CHAR
0,774,788
0,2001,2015
0,7673,7686
0,8958,8972
0,9237,9251
0,9501,9521
1,791,809
1,1956,1974
1,7673,7686
1,8999,9007
1,9501,9521
2,812,818
2,1977,1983
2,7673,7686
2,8975,8981
2,9501,9521
3,821,829
3,1986,1994
3,2046,2054
3,2072,2079
3,7673,7686
3,8984,8992
3,9501,9521
4,847,857
4,2578,2594
4,2600,2605
4,2691,2695
4,5717,5727
4,5746,5756
5,979,989
6,2072,2079
7,2072,2079
7,2083,2092
8,2128,2136
9,2162,2173
10,2316,2321
11,2325,2331
12,2344,2351
13,2355,2364
14,2377,2383
15,2387,2414
16,2441,2460
17,2513,2524
18,2527,2536
19,2542,2545
20,2668,2685
21,3421,3426
21,8207,8212
22,5856,5873
23,10455,10466
