SYMPTOM_IDX,START_CHAR,END_CHAR
0,84,91
0,885,892
0,1632,1648
0,2125,2135
0,5070,5078
1,897,907
1,1603,1613
1,2476,2486
1,3032,3042
1,5070,5078
1,6488,6498
2,1130,1138
3,1179,1188
4,1714,1724
5,1865,1875
6,2108,2119
7,2152,2164
8,2168,2178
9,2233,2244
10,2354,2358
10,5102,5106
10,5129,5135
10,6410,6414
11,2372,2393
12,2554,2570
13,2623,2632
13,2664,2681
14,2641,2660
15,2684,2693
16,2709,2714
17,3123,3133
18,3892,3902
19,4030,4040
19,4276,4280
19,4343,4347
20,4605,4628
21,4682,4702
21,4750,4768
22,5846,5856
23,6305,6312
23,6325,6333
24,6317,6333
25,6975,6983
25,6997,7005
26,6987,7005
