SYMPTOM_IDX,START_CHAR,END_CHAR
0,562,574
0,1279,1287
0,3464,3476
0,3509,3517
1,562,574
1,602,612
1,1279,1287
1,3464,3476
1,3509,3517
2,562,574
2,585,591
2,1279,1287
2,3464,3476
2,3509,3517
3,562,574
3,594,599
3,632,640
3,1279,1287
3,3464,3476
3,3509,3517
4,562,574
4,619,626
4,1279,1287
5,666,679
6,715,725
6,759,769
7,805,815
8,973,983
9,987,1006
10,1028,1031
11,1034,1043
12,1053,1061
13,1096,1107
14,1187,1201
15,1390,1395
16,1403,1409
17,1413,1419
18,1424,1430
19,1433,1441
20,1444,1452
21,1458,1470
22,1475,1482
22,1492,1499
23,1486,1499
24,3464,3476
25,3559,3566
26,3591,3601
27,3597,3601
28,3605,3624
