SYMPTOM_IDX,START_CHAR,END_CHAR
0,801,808
1,813,819
2,822,828
3,834,846
4,851,863
5,868,879
6,884,898
7,911,919
8,925,946
9,951,957
10,961,969
11,974,981
12,986,995
13,1000,1027
14,1780,1799
15,1821,1830
15,2762,2771
15,6295,6304
16,2020,2031
17,2614,2637
18,2738,2741
19,3431,3456
20,3516,3522
21,3526,3534
22,3578,3592
23,3598,3612
24,3636,3655
25,5238,5248
26,5921,5940
27,6323,6330
28,239,258
28,1046,1065
28,1756,1775
28,2216,2235
28,2362,2381
28,2585,2600
28,2715,2722
28,2715,2722
28,6216,6235
28,9797,9816
29,1835,1843
29,2056,2072
29,3062,3081
29,3179,3195
29,3203,3219
30,2797,2808
30,3729,3740
30,6270,6281
31,3292,3328
31,3292,3328
31,7803,7827
32,3598,3607
32,3617,3620
