SYMPTOM_IDX,START_CHAR,END_CHAR
0,2042,2044
0,2688,2698
0,3046,3048
0,3147,3151
0,3351,3355
0,6065,6067
1,2295,2310
2,2379,2388
3,2896,2898
4,3058,3066
5,3106,3118
6,3123,3126
7,3281,3288
7,3528,3537
7,4598,4607
7,6051,6060
8,3293,3299
8,3588,3592
8,4531,4539
8,6040,6048
9,3356,3362
10,3363,3369
11,3370,3375
12,3376,3390
13,3391,3398
13,3405,3408
14,3399,3408
15,3492,3508
15,7418,7438
16,3511,3525
17,3556,3571
18,3614,3642
19,3739,3741
19,3801,3804
20,3869,3873
20,6089,6091
21,4544,4563
22,4580,4593
23,4612,4629
24,6500,6502
