SYMPTOM_IDX,START_CHAR,END_CHAR
0,570,600
1,603,628
2,647,673
3,902,917
4,1030,1035
5,1038,1044
6,1047,1053
7,1056,1070
8,1073,1079
9,1082,1090
10,1093,1101
11,1104,1107
12,1110,1119
13,1125,1137
14,3337,3351
15,3354,3360
16,3363,3371
17,3581,3589
18,263,276
18,692,705
18,785,793
18,3450,3463
19,279,300
19,3325,3334
19,10103,10124
20,323,328
20,10143,10148
21,329,333
21,3625,3629
21,10151,10155
22,603,620
22,633,640
23,717,728
23,3488,3497
24,854,873
24,3412,3431
25,973,978
25,3400,3405
26,3223,3233
26,9756,9771
27,10066,10086
27,10078,10086
