SYMPTOM_IDX,START_CHAR,END_CHAR
0,709,714
1,769,778
2,801,807
3,910,918
4,932,947
5,955,986
6,1015,1020
7,2265,2274
8,78,83
8,286,291
8,864,869
9,545,550
9,614,629
10,781,789
11,1102,1121
11,1127,1137
12,1102,1121
12,1143,1153
13,1102,1121
13,1159,1171
14,1102,1121
14,1174,1183
15,1102,1121
15,1186,1191
15,1289,1294
16,1102,1121
16,1194,1203
17,1102,1121
17,1206,1220
18,1102,1121
18,1223,1231
19,1102,1121
19,1234,1243
20,1102,1121
20,1246,1253
21,1102,1121
21,1256,1266
22,1102,1121
22,1269,1286
23,1102,1121
23,1297,1301
24,1102,1121
24,1304,1314
25,1102,1121
25,1317,1329
26,1102,1121
26,1333,1349
27,1367,1400
27,1407,1411
28,2338,2386
29,2394,2412
29,2436,2444
29,2468,2486
30,2436,2444
30,2448,2463
31,4429,4444
31,4502,4510
32,4449,4457
32,4502,4510
32,4933,4939
33,6974,6984
33,6998,7008
33,7619,7629
33,7636,7640
