SYMPTOM_IDX,START_CHAR,END_CHAR
0,972,992
1,1403,1422
1,3932,3951
2,1425,1444
2,3954,3973
3,1458,1486
3,3999,4027
3,14124,14152
4,1492,1501
4,3976,3985
5,1676,1681
6,1682,1688
7,1698,1703
8,1706,1714
9,1727,1737
10,1742,1753
11,1811,1839
12,2249,2256
13,2259,2267
14,2274,2298
15,2301,2309
16,2376,2390
17,2465,2492
18,2506,2515
19,2530,2538
20,2572,2591
21,2650,2659
22,3451,3482
23,9128,9142
24,9719,9733
25,10736,10744
25,10763,10767
25,11016,11024
25,11751,11759
25,11782,11790
25,11846,11854
25,12227,12235
25,12789,12797
26,11558,11572
27,11640,11649
28,16789,16803
29,17910,17924
30,17927,17933
31,17937,17945
32,17988,17997
33,18003,18011
34,10643,10657
34,10997,11011
35,14491,14502
