SYMPTOM_IDX,START_CHAR,END_CHAR
0,81,95
0,3362,3376
0,3480,3494
0,4260,4275
0,4282,4296
0,4556,4570
0,4603,4607
0,7244,7258
0,8042,8056
0,8125,8139
0,8862,8866
1,4418,4432
2,4774,4780
3,4781,4789
4,4793,4801
5,4805,4811
6,4818,4832
7,4971,4975
8,4979,4984
9,5486,5492
10,5493,5499
11,5504,5509
12,5510,5513
13,5576,5586
14,5587,5599
15,5822,5826
16,8322,8327
17,8519,8544
18,8746,8751
19,8762,8769
20,9248,9270
21,4418,4427
21,4437,4447
22,4628,4648
22,8811,8831
23,4670,4677
23,4704,4718
24,4850,4852
24,4866,4872
25,4850,4852
25,4877,4888
26,4948,4968
26,7263,7283
27,5116,5133
28,8973,8983
