SYMPTOM_IDX,START_CHAR,END_CHAR
0,1567,1573
1,1614,1622
2,1730,1738
3,1751,1761
4,1765,1784
5,4237,4248
6,5621,5626
7,6478,6484
8,6487,6495
9,7398,7423
10,8552,8569
11,1408,1417
11,6615,6624
12,1464,1471
12,4260,4267
13,1506,1523
13,5771,5788
14,1680,1701
14,4663,4684
14,5730,5751
15,1319,1327
15,1366,1375
16,702,708
16,1308,1314
16,4213,4219
16,4639,4645
16,5671,5677
16,6114,6120
16,6246,6252
16,6449,6455
16,8541,8547
17,711,719
17,1253,1261
17,1319,1327
17,4222,4230
17,4648,4656
17,5680,5688
17,6125,6133
17,6257,6265
