SYMPTOM_IDX,START_CHAR,END_CHAR
0,360,364
1,686,693
2,1394,1399
3,1462,1478
4,1570,1583
5,1649,1658
6,1763,1781
7,1921,1934
8,1940,1960
9,1964,1982
10,2063,2074
11,2188,2198
12,2670,2675
13,2687,2698
14,3069,3073
15,5332,5344
16,5768,5783
17,5938,5950
18,5997,6013
19,677,681
19,1488,1510
20,1023,1039
20,1072,1080
21,1625,1634
21,6050,6059
22,1784,1805
22,1873,1880
23,1823,1832
23,1873,1880
24,1849,1866
24,1873,1880
25,2775,2787
25,2867,2874
25,5503,5510
26,2812,2826
26,2867,2874
26,5503,5510
27,2851,2860
27,2867,2874
27,5503,5510
