SYMPTOM_IDX,START_CHAR,END_CHAR
0,306,316
0,537,552
0,737,741
1,805,813
2,1053,1057
3,321,327
4,613,632
5,637,648
6,656,662
7,665,673
8,676,688
9,889,904
10,1090,1118
11,1122,1131
12,1157,1165
13,1205,1224
14,1308,1313
14,1320,1326
15,1314,1326
16,1419,1439
17,1556,1570
18,1573,1579
19,1582,1590
20,1593,1604
21,1607,1619
22,1623,1643
23,1733,1744
24,1733,1739
24,1748,1752
25,1881,1889
26,1985,1991
27,1994,2000
28,2003,2008
29,2011,2017
30,2020,2027
31,2030,2058
32,2061,2069
33,2072,2086
34,2089,2101
35,2104,2117
36,2121,2129
37,2163,2179
38,2187,2195
39,5608,5620
40,5633,5643
41,5771,5779
41,5802,5808
41,6301,6309
