SYMPTOM_IDX,START_CHAR,END_CHAR
0,3884,3889
0,4065,4070
0,4259,4264
0,7630,7635
0,8425,8430
1,4520,4534
1,5419,5433
2,4297,4305
3,4355,4356
4,4357,4358
5,4359,4360
6,4363,4374
7,4421,4423
8,4426,4438
9,4441,4457
10,4460,4469
11,4472,4483
12,4486,4491
13,4494,4503
14,4506,4517
15,5408,5416
16,7760,7765
17,4892,4897
17,7760,7765
18,3409,3416
18,3892,3911
18,4077,4096
18,4323,4342
18,4847,4850
18,7652,7671
18,8798,8806
19,3876,3881
19,4057,4062
19,4176,4181
19,4206,4211
19,7622,7627
19,8412,8417
19,8798,8806
