SYMPTOM_IDX,START_CHAR,END_CHAR
0,496,516
0,1698,1702
0,2067,2071
0,2077,2081
0,2249,2269
1,531,539
1,1786,1794
1,1951,1959
2,920,928
2,1095,1103
2,1226,1231
3,1360,1368
3,1423,1445
3,1644,1652
3,1860,1868
4,1423,1428
4,1446,1453
4,1467,1472
5,1497,1503
6,1508,1516
7,1528,1534
8,1562,1568
9,2274,2295
10,2349,2357
11,2395,2409
12,2426,2436
13,2440,2459
14,3028,3033
15,7478,7486
16,8032,8053
17,9388,9396
18,10096,10104
19,10572,10580
19,10716,10724
19,11396,11404
20,519,524
20,1816,1824
21,1423,1428
21,1446,1463
22,7423,7427
22,7450,7455
23,12124,12132
23,12158,12166
