SYMPTOM_IDX,START_CHAR,END_CHAR
0,1970,1978
0,2211,2219
0,2452,2460
1,2273,2287
1,2452,2460
2,2773,2779
3,2782,2790
4,2793,2801
5,2804,2811
6,2814,2823
7,2824,2831
8,2834,2842
9,2859,2861
10,2910,2911
11,2912,2913
12,2914,2915
13,2916,2917
14,2920,2924
15,2927,2935
16,2938,2943
17,2946,2952
18,2955,2963
19,2966,2968
20,2971,2983
21,2986,2991
22,2994,2997
23,3000,3003
24,3010,3025
24,3037,3043
25,3010,3019
25,3029,3043
26,3057,3073
27,3057,3066
27,3077,3084
28,3087,3095
29,3098,3105
30,3108,3116
31,3118,3131
