SYMPTOM_IDX,START_CHAR,END_CHAR
0,399,409
0,2598,2610
0,2744,2746
0,2832,2836
0,2940,2944
0,6343,6355
1,852,858
2,2331,2341
3,2349,2355
4,2369,2384
5,2452,2464
6,2613,2621
6,2637,2641
6,2744,2746
6,2832,2836
6,2940,2944
7,2633,2641
7,2744,2746
7,2832,2836
7,2940,2944
8,2697,2716
8,2744,2746
9,3078,3088
9,3116,3118
10,3307,3313
11,3316,3324
12,3327,3338
13,3365,3375
14,3388,3393
15,3396,3402
16,3408,3413
17,3453,3458
18,3472,3481
19,3484,3512
20,3518,3530
21,3539,3562
22,7288,7298
23,8996,9004
24,10081,10089
25,10173,10183
