SYMPTOM_IDX,START_CHAR,END_CHAR
0,79,89
0,1470,1480
0,1560,1570
0,1654,1664
0,1850,1853
0,1860,1870
0,1866,1870
0,2829,2855
0,2940,2944
0,2955,2959
0,3081,3092
0,3196,3200
1,1850,1853
1,1866,1870
1,2829,2832
1,2851,2855
1,2940,2944
1,2950,2953
1,2955,2959
1,3196,3200
1,4357,4361
2,2010,2020
3,2439,2443
3,2456,2464
4,2439,2443
4,2471,2475
5,3033,3045
6,3101,3108
7,3115,3121
8,3124,3130
9,3133,3140
10,3143,3158
11,3164,3187
12,1860,1870
12,2839,2844
12,2851,2855
12,2955,2959
12,3196,3200
12,4357,4361
13,1878,1895
13,2918,2932
14,1913,1928
14,3503,3518
