SYMPTOM_IDX,START_CHAR,END_CHAR
0,501,507
0,1938,1944
0,2018,2022
0,2054,2062
1,2501,2520
1,5140,5159
1,5298,5302
2,745,755
3,983,1002
4,1233,1239
5,2112,2116
6,2161,2180
7,2183,2194
8,2197,2203
9,2206,2214
10,2261,2276
11,2446,2450
12,5074,5084
13,5362,5382
14,6369,6388
15,6401,6411
16,6407,6411
17,2530,2552
17,2580,2584
18,2678,2699
18,2717,2723
19,2678,2699
19,2708,2714
20,2678,2699
20,2726,2732
21,2678,2699
21,2735,2739
22,2678,2699
22,2742,2756
23,2678,2699
23,2759,2765
24,2678,2699
24,2768,2776
25,2678,2699
25,2782,2804
