SYMPTOM_IDX,START_CHAR,END_CHAR
0,2615,2623
0,3681,3689
0,6556,6573
1,2750,2759
2,3485,3493
3,3496,3505
4,3515,3530
5,3533,3547
6,3551,3557
7,3615,3633
8,3672,3680
9,3681,3689
10,3747,3756
11,3774,3775
12,3776,3777
13,3778,3779
14,3780,3781
15,3784,3788
16,3791,3799
17,3802,3807
18,3810,3818
19,3821,3823
20,3826,3838
21,3841,3846
22,3849,3852
23,3855,3858
24,3897,3907
25,3908,3916
26,3919,3930
27,3938,3956
28,3959,3967
29,3993,4006
30,4009,4021
31,4027,4053
32,6886,6895
33,2176,2185
33,2265,2274
33,2628,2637
33,2764,2773
33,3112,3120
33,3391,3399
33,6653,6662
33,6678,6693
34,2880,2888
34,3391,3399
35,3035,3043
35,3391,3399
35,6556,6573
36,3508,3514
36,3523,3530
37,3861,3876
37,3888,3894
38,3861,3870
38,3880,3894
39,3919,3925
39,3931,3935
