SYMPTOM_IDX,START_CHAR,END_CHAR
0,387,396
0,1263,1272
0,4768,4777
1,429,443
1,7053,7067
1,7285,7299
1,7416,7420
2,448,460
2,912,964
2,7079,7091
3,625,658
3,1029,1048
4,683,688
5,706,726
5,845,865
5,984,1004
6,743,753
6,1390,1400
7,756,768
7,1403,1415
8,771,785
9,788,794
9,1436,1442
10,797,805
10,1445,1453
11,811,822
12,891,903
13,917,931
14,1065,1092
15,1189,1195
16,1199,1226
17,1282,1308
18,1346,1359
19,1372,1378
20,1381,1387
21,1418,1433
22,1456,1467
23,1479,1490
24,5546,5568
25,5614,5630
26,7150,7156
26,7423,7429
27,7161,7169
27,7436,7444
