SYMPTOM_IDX,START_CHAR,END_CHAR
0,335,349
1,459,480
2,518,529
3,717,724
4,741,757
5,922,934
6,954,969
7,1108,1115
8,1452,1460
9,2345,2353
10,2356,2377
11,2402,2419
12,2463,2480
13,2518,2539
14,2556,2569
15,2618,2626
16,2630,2634
17,2652,2662
18,2665,2684
19,2688,2700
20,2838,2856
21,3001,3010
22,4580,4591
23,4895,4903
24,6452,6466
25,6605,6616
26,6701,6721
27,6737,6755
28,7091,7100
29,7260,7269
30,7826,7833
31,1126,1133
31,7851,7866
32,378,385
32,3196,3211
32,4717,4732
33,798,805
33,845,850
34,1821,1827
34,1867,1877
35,1929,1936
36,2232,2236
37,2253,2269
37,2296,2317
38,2715,2730
38,2740,2748
39,2715,2722
39,2734,2748
40,4494,4500
40,4636,4644
41,4505,4516
41,4636,4644
42,4781,4789
42,4829,4837
