SYMPTOM_IDX,START_CHAR,END_CHAR
0,91,99
0,2273,2281
0,3011,3023
0,3220,3228
1,3140,3143
1,3420,3423
2,3112,3120
2,3850,3851
2,4690,4698
3,2179,2185
3,3105,3111
3,3848,3849
3,4573,4579
3,4683,4689
3,5343,5349
4,102,110
4,2284,2292
4,3292,3300
5,3045,3055
5,3060,3064
5,3281,3291
5,3296,3300
6,3431,3451
7,3898,3912
7,4509,4523
7,4582,4596
7,5352,5360
8,2415,2425
9,3056,3064
10,3342,3349
11,3352,3361
12,3366,3367
13,3368,3369
14,3375,3390
15,3391,3398
16,3401,3403
17,3406,3411
18,3470,3479
19,3495,3498
20,4491,4499
21,5532,5538
22,5539,5547
