SYMPTOM_IDX,START_CHAR,END_CHAR
0,377,396
0,1534,1549
0,2189,2205
1,399,429
1,1747,1765
1,1783,1792
1,2189,2205
2,456,467
2,1944,1955
2,2189,2205
2,5814,5827
3,470,478
3,1958,1966
3,2189,2205
3,5814,5827
4,490,510
4,2008,2022
4,2189,2205
4,5814,5827
5,907,926
6,1401,1412
7,1569,1578
8,1620,1648
9,1664,1676
10,1692,1702
11,1717,1722
12,1982,1988
13,1993,2001
14,2081,2093
15,2096,2102
16,2106,2112
17,2189,2205
18,5895,5903
19,5906,5920
20,5923,5929
21,5933,5941
22,6323,6330
23,6323,6342
24,6345,6361
25,6364,6373
26,6379,6398
27,6428,6433
27,6879,6884
27,7019,7026
27,7094,7106
28,6543,6555
29,6713,6720
30,8255,8270
31,8318,8337
32,8340,8351
33,8354,8366
34,8255,8263
34,8275,8283
