SYMPTOM_IDX,START_CHAR,END_CHAR
0,2197,2204
0,2600,2607
0,5074,5081
0,5506,5518
0,5680,5687
1,2869,2880
1,2924,2932
1,3015,3023
2,2883,2894
2,2924,2932
2,3015,3023
3,2906,2918
3,2924,2932
3,3015,3023
4,3059,3064
5,3071,3079
6,3142,3149
7,3186,3207
8,3399,3409
9,3419,3427
10,3436,3449
11,3492,3511
12,3541,3560
13,3563,3568
14,3575,3582
15,3611,3616
16,3619,3625
17,3628,3633
18,3636,3642
19,3645,3672
20,3675,3687
21,3690,3697
22,3700,3709
23,3723,3730
24,3723,3730
25,3740,3747
26,6070,6075
27,3277,3297
27,3302,3312
27,3348,3355
