SYMPTOM_IDX,START_CHAR,END_CHAR
0,237,245
0,416,424
0,964,968
0,10010,10018
1,250,259
1,429,438
1,1151,1159
1,10072,10081
2,836,857
3,893,909
3,905,909
4,964,968
5,1523,1552
5,1708,1719
5,1789,1793
6,1595,1644
6,1708,1719
6,1789,1793
7,1843,1850
8,1880,1888
9,2039,2064
10,2108,2142
11,2375,2392
12,2444,2453
13,2456,2462
14,2467,2475
15,2517,2525
16,3062,3092
16,3820,3828
17,3095,3116
17,3820,3828
18,3123,3144
18,3820,3828
19,3485,3495
20,3498,3517
21,3520,3526
22,3529,3537
23,3542,3554
24,3576,3583
25,3594,3600
26,3604,3612
27,3643,3690
28,3820,3828
29,4864,4871
30,7447,7460
31,12798,12808
32,1649,1693
32,1708,1719
32,1789,1793
32,10098,10148
