SYMPTOM_IDX,START_CHAR,END_CHAR
0,8288,8296
0,10165,10173
1,7412,7420
1,8136,8144
2,7423,7428
2,7597,7602
2,10521,10526
3,7633,7636
3,7805,7808
3,7931,7934
4,8099,8118
5,8127,8131
5,8148,8157
6,7563,7571
7,7576,7586
8,7639,7649
9,7665,7679
10,7688,7703
11,7706,7716
12,7719,7733
13,7736,7744
14,7747,7761
15,7764,7771
16,7774,7778
17,7781,7791
18,7794,7803
19,7813,7821
20,7908,7934
21,7979,7987
22,8136,8144
23,8177,8183
24,8186,8192
25,8195,8201
26,8204,8213
27,8216,8222
28,8607,8609
29,10424,10427
