SYMPTOM_IDX,START_CHAR,END_CHAR
0,208,217
1,571,584
2,1087,1100
3,1775,1783
4,1789,1800
5,1823,1832
6,1884,1893
7,1908,1913
8,1929,1939
9,1942,1961
10,1967,1979
11,2335,2354
12,2370,2377
13,2383,2402
14,2509,2518
15,2534,2562
16,2566,2574
17,3191,3200
18,8207,8214
19,8574,8586
20,388,397
20,562,566
20,580,584
20,1073,1077
20,1096,1100
21,606,627
21,1716,1742
22,761,770
22,811,819
23,761,770
23,834,838
24,761,770
24,861,865
25,1652,1661
25,1671,1679
26,1652,1661
26,1690,1694
27,1810,1818
27,2087,2091
