SYMPTOM_IDX,START_CHAR,END_CHAR
0,791,797
1,898,904
2,1187,1193
2,5772,5778
2,8608,8614
3,1196,1204
3,8329,8337
3,8619,8627
3,8666,8674
3,8815,8823
3,8967,8975
4,1213,1227
5,1247,1253
6,1268,1273
7,1292,1302
8,1305,1314
9,1318,1336
10,5783,5791
11,6701,6711
12,6715,6721
13,6726,6734
14,8908,8916
15,9101,9109
16,9978,9984
17,10001,10018
18,10598,10603
19,11497,11501
19,11645,11649
19,11902,11906
19,12132,12136
19,15625,15629
19,15682,15686
20,12593,12602
21,12606,12614
22,12652,12660
23,12793,12799
