SYMPTOM_IDX,START_CHAR,END_CHAR
0,867,877
1,1084,1094
2,1098,1107
3,1207,1211
4,1215,1236
5,1251,1270
6,1282,1301
7,1378,1397
8,1477,1487
9,1491,1503
10,1509,1514
11,1541,1547
12,1550,1556
13,1559,1565
14,1569,1577
15,1651,1667
16,1693,1710
17,1718,1725
18,1731,1739
19,1743,1748
20,1772,1793
21,5112,5133
22,5144,5158
23,7591,7618
24,7813,7822
25,7835,7839
26,7882,7893
27,882,891
27,946,982
28,994,1000
28,1010,1017
29,1004,1017
29,1119,1132
30,1325,1348
30,1426,1430
31,1524,1536
31,4459,4467
32,1596,1618
33,1894,1905
33,4338,4349
33,13004,13015
34,7649,7657
34,7850,7858
35,10610,10614
35,11157,11165
36,10445,10456
36,11231,11240
36,11442,11451
37,11810,11820
