SYMPTOM_IDX,START_CHAR,END_CHAR
0,90,92
0,3104,3106
0,3120,3126
0,3215,3217
0,3657,3667
0,5794,5804
1,6898,6925
1,6898,6925
1,6898,6925
2,3942,3944
2,4069,4073
3,4131,4133
3,4178,4180
4,4196,4203
4,6124,6131
5,4433,4459
6,3577,3587
7,4014,4026
8,4029,4040
9,4043,4052
10,4053,4055
11,4056,4062
12,4218,4236
13,4258,4270
14,4276,4287
15,4338,4340
16,4360,4363
17,4371,4374
18,4375,4384
19,4391,4399
20,4404,4405
21,4406,4407
22,4408,4417
23,4418,4428
24,4466,4471
25,4709,4720
26,5504,5506
27,5794,5804
28,7032,7034
29,7038,7040
