SYMPTOM_IDX,START_CHAR,END_CHAR
0,873,877
1,931,939
2,944,955
3,977,991
4,1151,1159
5,1162,1176
6,1188,1208
7,1211,1232
8,1254,1270
9,1287,1297
10,1300,1312
11,1315,1334
12,1347,1366
13,1369,1378
14,1407,1412
15,1415,1420
16,1423,1430
17,1433,1450
18,1453,1461
19,1464,1478
20,1481,1497
21,1500,1515
22,1521,1532
23,1568,1579
24,6138,6146
25,6278,6288
26,6684,6703
27,6940,6955
28,7839,7856
29,9307,9315
30,9318,9338
31,257,265
31,720,728
31,873,877
31,1965,1973
31,5347,5355
32,1179,1184
32,1196,1208
33,1612,1617
33,2131,2136
34,1636,1649
34,1930,1943
34,3623,3627
35,5416,5424
35,5733,5741
35,5866,5874
36,5427,5434
36,5866,5874
37,5441,5449
37,5866,5874
38,5450,5459
38,5866,5874
39,7471,7489
39,8265,8283
39,14744,14762
40,7839,7846
40,7861,7868
