SYMPTOM_IDX,START_CHAR,END_CHAR
0,530,538
0,682,688
0,944,950
0,2002,2008
1,761,766
2,1233,1250
3,1257,1267
4,1379,1392
5,1397,1404
6,1428,1434
7,1437,1443
8,1446,1452
9,1455,1463
10,1466,1471
11,1474,1482
12,1515,1522
13,1527,1533
14,1599,1607
15,1651,1664
16,1731,1740
17,1752,1764
18,1767,1781
19,1784,1803
20,1814,1842
21,1869,1884
22,1892,1912
23,3121,3135
24,737,744
24,969,976
25,1033,1045
25,1097,1104
26,1050,1057
26,1097,1104
26,1276,1280
26,1977,1984
26,3065,3069
26,3149,3153
27,3110,3117
27,3127,3135
