SYMPTOM_IDX,START_CHAR,END_CHAR
0,666,685
0,1161,1168
0,1261,1269
0,1385,1393
0,1509,1531
0,5535,5543
0,9679,9687
1,690,718
1,1175,1203
1,1261,1269
1,1385,1393
1,1509,1531
1,5535,5543
1,9679,9687
2,1077,1088
3,1149,1158
3,1261,1269
3,1385,1393
3,1509,1531
3,5535,5543
3,9679,9687
4,1214,1229
4,1261,1269
4,1385,1393
4,1509,1531
4,5535,5543
4,9679,9687
5,1626,1637
6,1653,1660
7,1663,1675
8,1700,1706
9,1715,1721
10,4295,4310
11,9481,9490
11,9679,9687
11,9762,9770
12,10603,10613
13,10138,10146
14,10150,10159
