SYMPTOM_IDX,START_CHAR,END_CHAR
0,414,424
0,1736,1746
0,2189,2199
1,478,486
2,807,826
3,1182,1201
4,1242,1252
5,1365,1374
6,1379,1407
7,1507,1516
8,1652,1660
9,1913,1924
10,1931,1940
11,1947,1958
12,1973,1988
13,2005,2013
14,2033,2045
15,2074,2081
16,2094,2104
17,2107,2118
18,2121,2132
19,2135,2149
20,2152,2162
21,2165,2173
22,2202,2209
23,2228,2233
24,2236,2263
25,2269,2275
26,2778,2785
27,2823,2833
28,3395,3406
29,3452,3463
29,3509,3531
30,8610,8624
31,9008,9014
32,9117,9125
33,355,361
33,1560,1566
34,364,370
34,1618,1624
35,373,379
35,1640,1646
36,382,401
36,1677,1696
37,427,432
37,1803,1808
38,442,450
38,1822,1829
38,7116,7141
38,7177,7204
39,497,512
39,1973,1988
39,7116,7141
39,7177,7204
40,519,527
40,2018,2026
40,7116,7141
40,7177,7204
40,7437,7445
41,8107,8115
41,8960,8968
42,8374,8394
42,8610,8624
43,8407,8417
43,8610,8624
