SYMPTOM_IDX,START_CHAR,END_CHAR
0,326,332
1,860,870
2,1004,1023
3,1027,1046
4,1072,1108
5,1142,1146
6,1220,1232
7,1274,1285
8,1390,1413
9,1570,1582
10,1587,1592
11,1707,1719
12,1744,1752
13,1744,1752
13,1763,1772
14,2913,2922
15,2925,2953
16,2972,2977
17,2980,2990
18,2996,3015
19,5027,5037
20,303,311
20,692,700
20,1250,1257
20,1331,1339
20,1422,1430
20,1535,1543
21,314,319
21,1647,1653
22,371,376
22,888,893
22,899,904
22,1062,1067
23,818,854
23,1072,1108
24,7168,7178
24,7283,7287
25,10069,10081
25,10082,10106
