SYMPTOM_IDX,START_CHAR,END_CHAR
0,3403,3410
1,3781,3789
2,3794,3797
3,3798,3801
4,3807,3835
5,3865,3874
6,4215,4224
7,4252,4260
8,4380,4386
9,4391,4402
10,4562,4577
11,4600,4602
12,4702,4715
13,4769,4780
14,4769,4775
14,4781,4785
15,4791,4796
16,4799,4808
17,4811,4819
18,4822,4834
19,4837,4851
20,7270,7272
21,7930,7935
22,88,90
22,2852,2862
22,2948,2950
22,3476,3486
22,4294,4309
22,7050,7052
22,7874,7878
22,7909,7911
23,132,137
23,2992,2997
23,4091,4099
23,4181,4189
23,4496,4504
23,7085,7093
23,7930,7935
24,3737,3746
24,4008,4017
