SYMPTOM_IDX,START_CHAR,END_CHAR
0,907,926
1,1043,1049
2,1471,1483
3,1523,1533
4,1536,1555
5,1558,1586
6,1592,1601
7,1840,1860
8,1962,1970
9,2053,2065
10,2069,2082
11,2095,2107
12,2110,2120
13,2123,2132
14,2138,2146
15,2190,2196
16,2201,2209
17,2274,2278
18,2338,2346
19,2365,2388
20,2402,2412
21,2408,2412
22,2416,2435
23,2445,2456
24,2505,2513
25,2518,2526
26,2550,2562
27,2578,2599
28,2603,2612
29,2734,2740
30,2743,2749
31,3107,3135
32,6460,6468
33,6496,6503
34,2804,2811
35,2815,2836
36,2860,2868
37,2882,2901
38,3037,3065
39,3077,3082
40,3088,3097
41,82,89
41,203,210
41,2239,2255
41,5502,5518
42,276,286
42,415,425
42,609,619
42,892,902
42,2959,2969
42,3228,3238
43,2662,2674
43,3300,3312
44,2662,2674
44,2693,2697
