SYMPTOM_IDX,START_CHAR,END_CHAR
0,1287,1299
1,1704,1719
2,1771,1781
3,1784,1803
4,1806,1812
5,1817,1825
6,1828,1839
7,1843,1850
8,2041,2056
9,2231,2240
9,6424,6433
10,2284,2287
11,2316,2321
12,2969,2975
13,2981,2987
14,2990,3000
15,3003,3010
16,3013,3027
17,3030,3036
18,3041,3049
19,3052,3060
20,3063,3070
21,8256,8268
22,8689,8700
23,618,637
23,783,799
23,6364,6383
24,642,670
24,783,799
24,6386,6406
25,705,716
25,783,799
26,1310,1315
26,1419,1424
27,1610,1676
27,1679,1683
28,2123,2142
28,8501,8520
29,2961,2966
29,8711,8716
30,3074,3078
30,8704,8708
