SYMPTOM_IDX,START_CHAR,END_CHAR
0,786,793
1,1755,1767
2,1805,1816
3,2377,2391
4,2464,2473
5,5840,5865
6,5908,5917
7,6543,6552
7,6713,6722
7,8318,8326
7,8346,8355
7,9068,9076
7,9295,9303
7,9643,9651
7,9910,9919
8,6615,6641
9,9152,9161
10,9341,9369
11,531,550
11,623,637
12,1654,1657
12,1907,1910
13,1662,1671
13,1915,1924
14,1994,2002
14,2029,2048
15,1994,2002
15,2051,2070
16,1994,2002
16,2073,2078
17,1994,2002
17,2094,2105
18,2547,2566
18,2685,2693
19,2571,2590
19,2685,2693
20,2604,2607
20,2685,2693
21,2612,2621
21,2685,2693
22,6557,6577
22,8318,8326
22,8330,8341
22,9068,9076
22,9295,9303
22,9643,9651
23,6660,6679
23,8439,8458
23,8557,8576
24,6754,6761
24,6832,6840
25,6777,6785
25,6832,6840
