SYMPTOM_IDX,START_CHAR,END_CHAR
0,257,265
1,435,443
2,709,724
2,782,790
2,905,911
2,1004,1012
3,745,751
3,782,790
3,905,911
3,1004,1012
3,6355,6361
4,1172,1193
5,1257,1276
6,1409,1425
7,1431,1450
8,1456,1469
9,1488,1500
10,1522,1529
10,2165,2186
10,2231,2245
10,2370,2391
11,1638,1653
12,1818,1833
13,1882,1890
14,2136,2155
15,2462,2471
16,2531,2540
17,2551,2579
18,2601,2606
19,2609,2620
20,2624,2649
21,2707,2714
22,2736,2747
23,2832,2838
24,2842,2848
25,2932,2941
26,3131,3140
27,6503,6506
27,6517,6521
27,6783,6786
27,6797,6805
28,6511,6521
28,6791,6805
29,7458,7486
30,7490,7499
31,7523,7542
32,9203,9206
32,9217,9221
32,9324,9332
33,9211,9221
33,9324,9332
34,9258,9269
35,9482,9493
36,9510,9520
37,11128,11139
38,13457,13469
39,13437,13447
40,11055,11066
41,13380,13387
42,11748,11752
43,13423,13431
44,242,247
44,261,265
44,6288,6298
45,281,293
45,502,514
45,6271,6283
46,532,541
46,4303,4312
47,672,691
47,782,790
47,905,911
47,1004,1012
47,6331,6350
48,694,706
48,782,790
48,905,911
48,1004,1012
49,727,738
49,782,790
49,905,911
49,1004,1012
49,6317,6328
50,1058,1073
50,1132,1139
50,2165,2186
50,2231,2245
50,2370,2391
50,6127,6142
50,6555,6570
50,9985,10000
51,9288,9294
51,9324,9332
52,9299,9318
52,9324,9332
53,11723,11727
53,11748,11752
54,11613,11620
54,11663,11671
