SYMPTOM_IDX,START_CHAR,END_CHAR
0,3430,3434
1,4057,4060
1,6781,6784
1,8007,8010
2,4065,4081
2,6795,6802
3,4099,4104
4,4287,4290
4,4327,4330
4,4464,4471
5,4341,4350
6,4553,4593
7,4602,4605
8,4621,4640
9,4661,4675
10,4773,4797
11,5026,5031
12,5220,5228
13,5224,5228
14,5310,5316
15,5319,5325
16,5328,5330
17,5333,5346
18,5343,5346
18,5375,5380
19,5388,5396
20,5402,5414
21,5417,5420
22,5423,5426
23,5429,5442
23,5450,5458
24,5429,5438
24,5446,5458
25,4333,4336
25,6787,6790
26,4651,4659
26,5180,5188
27,4827,4837
27,4979,4983
28,5026,5031
28,5051,5056
