SYMPTOM_IDX,START_CHAR,END_CHAR
0,235,244
1,596,622
2,634,651
3,710,721
4,804,823
5,841,847
6,856,864
7,1275,1280
8,1299,1305
9,1308,1314
10,1317,1331
11,1334,1351
12,1354,1362
13,1365,1373
14,1376,1382
15,1386,1402
16,6172,6184
17,8491,8499
18,10065,10079
19,79,89
19,260,274
19,749,753
19,894,898
19,7539,7549
19,10618,10623
19,10638,10646
19,10732,10740
20,247,255
20,562,566
20,586,595
21,681,695
21,749,753
21,894,898
21,10628,10646
21,10732,10740
22,975,990
22,10575,10590
22,10850,10865
23,1283,1296
24,4704,4714
24,7539,7549
25,5894,5904
25,7539,7549
25,9153,9163
26,10084,10092
26,10341,10349
