SYMPTOM_IDX,START_CHAR,END_CHAR
0,5671,5678
0,5752,5758
0,6120,6127
0,6537,6544
1,5908,5914
1,6120,6127
1,6537,6544
2,6740,6744
2,7069,7073
2,7158,7162
2,7553,7560
2,7841,7845
3,1226,1233
3,1433,1440
4,1367,1373
4,1792,1796
5,6120,6127
5,6537,6544
6,853,859
7,862,872
8,877,885
9,1608,1616
10,1621,1629
11,1652,1693
12,1730,1736
13,2024,2031
14,2034,2041
15,2054,2061
16,3507,3513
17,3516,3524
18,3527,3535
19,3538,3553
20,3558,3567
21,3609,3615
22,3618,3624
23,3627,3633
24,3694,3704
25,3745,3749
26,5338,5345
27,5368,5375
28,5488,5494
29,5540,5544
30,6767,6776
31,7434,7438
32,7508,7530
33,7595,7600
34,7668,7674
35,7678,7684
