SYMPTOM_IDX,START_CHAR,END_CHAR
0,4220,4236
1,4241,4262
2,4294,4307
3,4330,4339
4,4734,4738
5,4743,4747
6,4779,4797
7,4848,4855
8,4889,4893
9,4927,4935
10,4940,4946
11,5022,5025
12,5046,5055
13,5068,5078
14,5095,5104
14,8446,8455
15,5107,5122
16,5125,5140
17,5143,5155
18,5169,5177
19,5191,5197
20,5203,5211
21,5214,5233
22,5236,5244
23,5249,5261
24,5411,5417
25,5429,5448
26,7012,7028
27,7495,7503
27,7732,7737
28,8458,8464
29,8864,8873
29,9012,9016
30,9316,9324
31,9327,9331
31,9455,9459
32,9412,9420
33,9769,9781
34,136,140
34,3423,3427
34,3920,3924
34,4103,4107
34,4142,4146
35,3281,3289
35,3927,3935
35,4110,4118
36,4133,4136
36,7476,7479
37,4506,4510
37,4541,4545
38,4611,4615
38,4818,4822
38,4889,4893
39,4825,4833
39,9305,9313
40,4836,4843
40,7482,7489
40,8436,8443
41,4953,4960
41,4968,4973
42,5423,5428
42,5437,5448
43,7506,7515
43,7715,7724
