SYMPTOM_IDX,START_CHAR,END_CHAR
0,252,271
0,10671,10690
1,462,481
1,3193,3212
1,3568,3587
1,7629,7648
2,812,831
3,1257,1262
4,2134,2153
5,2185,2190
6,2725,2743
7,3095,3106
7,7669,7680
8,3231,3250
9,3255,3264
9,3275,3284
9,7653,7662
10,3450,3458
11,3485,3490
12,3538,3548
13,3672,3677
14,4393,4401
15,4404,4410
16,4413,4419
17,4422,4434
18,4437,4445
19,4448,4454
20,4457,4463
21,4466,4474
22,4477,4485
23,4488,4515
24,4518,4525
25,4529,4538
26,4562,4574
27,4579,4590
28,4631,4635
28,4649,4653
29,4640,4653
