SYMPTOM_IDX,START_CHAR,END_CHAR
0,5059,5069
0,5632,5642
0,5792,5796
1,5072,5091
1,8427,8446
2,5094,5100
2,5869,5875
3,5107,5122
3,5973,5986
4,5132,5144
5,5213,5218
6,5228,5231
7,5279,5286
8,5290,5319
9,5477,5496
10,5541,5564
10,6289,6312
11,5569,5595
11,6323,6345
12,5619,5627
13,5730,5746
14,5838,5850
15,5904,5915
16,6027,6034
17,6044,6058
18,6091,6102
19,6138,6142
20,6150,6153
21,6217,6247
22,6484,6496
22,10181,10185
22,10308,10312
22,10353,10357
23,6492,6496
23,10168,10176
23,10384,10392
24,6574,6579
25,8677,8696
26,9521,9535
