SYMPTOM_IDX,START_CHAR,END_CHAR
0,5253,5271
1,5359,5370
2,5375,5383
3,5405,5412
4,5482,5486
5,5554,5562
6,5578,5584
7,5588,5595
8,5622,5627
9,5664,5674
10,5867,5870
11,5873,5886
12,5889,5898
13,5901,5910
14,5911,5918
15,5921,5933
16,5939,5952
17,5957,5970
18,8078,8087
19,8222,8233
20,10003,10009
21,10010,10018
22,10279,10287
23,10579,10591
24,10193,10200
25,81,90
25,4500,4509
25,4589,4598
25,5029,5039
25,5084,5094
25,5461,5471
25,5637,5649
25,7849,7858
25,7868,7879
25,10299,10311
26,93,103
26,4601,4611
26,5044,5047
26,5302,5305
26,5393,5396
26,9078,9090
26,9873,9876
26,9923,9925
26,10153,10156
26,10341,10344
27,5185,5193
28,5417,5450
28,10244,10269
