SYMPTOM_IDX,START_CHAR,END_CHAR
0,1015,1024
1,1262,1283
2,1338,1359
3,1419,1425
4,1428,1434
5,1437,1445
6,1449,1470
7,1475,1482
8,1520,1527
9,1531,1541
10,1579,1589
11,1593,1612
12,1618,1629
13,1633,1647
14,4678,4686
15,661,677
15,969,974
15,1125,1130
15,4788,4796
16,1047,1055
16,1090,1092
17,709,719
17,964,974
17,4822,4832
18,778,782
18,964,974
19,812,824
19,964,974
20,920,938
20,964,974
20,1301,1318
20,4733,4741
20,4801,4809
21,1193,1203
21,4845,4855
22,1867,1893
22,10071,10091
23,8159,8172
23,10495,10508
