SYMPTOM_IDX,START_CHAR,END_CHAR
0,555,563
0,1816,1824
0,2124,2132
1,568,572
1,1807,1811
1,2137,2141
2,2879,2889
2,7748,7758
3,3001,3020
3,3110,3129
4,8115,8134
4,8179,8198
4,8292,8311
4,8465,8484
5,935,954
6,1055,1063
7,1068,1072
8,2664,2670
9,2673,2679
10,2682,2688
11,2691,2697
12,2701,2709
13,2712,2720
14,2723,2750
15,2753,2759
16,2762,2772
17,2785,2795
18,2798,2812
19,2815,2820
20,2826,2833
21,3208,3218
22,3222,3227
23,3404,3414
24,3893,3912
25,3989,3999
26,4014,4028
27,8576,8582
28,8585,8591
29,8594,8600
30,8613,8623
31,8626,8640
32,8643,8655
33,8659,8664
