SYMPTOM_IDX,START_CHAR,END_CHAR
0,1493,1498
0,1529,1533
0,1614,1622
1,624,646
2,1051,1057
3,1086,1096
4,1099,1118
5,1121,1129
6,1133,1145
7,1209,1242
8,1858,1869
9,2245,2257
10,5077,5097
11,5145,5155
12,1445,1464
12,1614,1622
13,1423,1440
13,1456,1464
13,1614,1622
14,784,795
14,797,802
14,1030,1041
14,5077,5097
15,1954,1965
15,2441,2452
16,211,221
16,459,469
16,2014,2024
16,2087,2113
16,2195,2199
16,2220,2224
16,2341,2348
16,2460,2470
16,5145,5155
17,1480,1486
17,1614,1622
18,5329,5339
18,5341,5345
18,5361,5373
